名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,與其他資料集共用資源,最大記錄數,檔案類欄位,實際型態
10122-00-04-2 臺中市各區 現住人口數按性別及原住民身分分,政府開放資料平臺,,JSON;CSV;XML,141,OGDL-1.0,2026/7/6 上午 03:04:40,https://odportal.tw/dataset/4mY7XkgB,https://data.gov.tw/dataset/88805,真資料,141,3,wO-n7TA1,232,,json
10122-00-05-2 臺中市各區 現住原住民戶數、人口數按戶別及性別分,政府開放資料平臺,,JSON,6,OGDL-1.0,2026/6/18 下午 05:34:00,https://odportal.tw/dataset/vGubjXKt,https://data.gov.tw/dataset/88806,真資料,6,2,7TaZFJ4I,522,,json
10122-00-06-2 臺中市各區 現住原住民人口數按性別、年齡及原住民身分分,政府開放資料平臺,,JSON;CSV;XML,138,OGDL-1.0,2026/7/6 上午 03:04:36,https://odportal.tw/dataset/HaK9uIP5,https://data.gov.tw/dataset/88807,真資料,138,3,f9fY54rn,558,,json
10122-00-07-2 臺中市各區 現住原住民人口數按性別、原住民身分及族別分,政府開放資料平臺,,JSON;XML;CSV,138,OGDL-1.0,2026/6/18 下午 06:00:18,https://odportal.tw/dataset/n6V1cdPm,https://data.gov.tw/dataset/88808,真資料,138,4,l68rFnIy,556,,json
10122-00-08-2 臺中市各區 十五歲以上現住原住民人口數按性別、年齡、原住民身分及教育程度分,政府開放資料平臺,,JSON,9,OGDL-1.0,2026/6/21 上午 04:03:41,https://odportal.tw/dataset/I7pcln5i,https://data.gov.tw/dataset/88977,真資料,9,3,1rewJsjX,495,,json
10411-01-38-2 臺中市高級中等學校原住民學生數-普通科,政府開放資料平臺,,JSON;CSV,15,OGDL-1.0,2026/6/22 上午 12:38:17,https://odportal.tw/dataset/UJhS6ioJ,https://data.gov.tw/dataset/89993,真資料,15,3,8AvsFz-B,136,,json
10411-01-39-2 臺中市高級中等學校原住民學生數-專業群科(職業科),政府開放資料平臺,,JSON;CSV,15,OGDL-1.0,2026/6/22 上午 12:26:27,https://odportal.tw/dataset/Dspn8Hom,https://data.gov.tw/dataset/103076,真資料,15,3,Mgpk0B_m,270,,json
10411-01-40-2 臺中市高級中等學校原住民學生數-綜合高中,政府開放資料平臺,,JSON;CSV,15,OGDL-1.0,2026/6/21 下午 11:57:05,https://odportal.tw/dataset/gJCI5_k1,https://data.gov.tw/dataset/103077,真資料,15,3,LrabuTLx,170,,json
10411-01-41-2 臺中市高級中等學校原住民學生數-實用技能學程,政府開放資料平臺,,JSON;XML;CSV,15,OGDL-1.0,2026/6/22 上午 12:26:32,https://odportal.tw/dataset/MVnt9C78,https://data.gov.tw/dataset/103078,真資料,15,3,_i1Ttt_6,136,,json
10411-01-42-2 臺中市高級中等學校原住民學生數-進修部(學校),政府開放資料平臺,,JSON;CSV,15,OGDL-1.0,2026/6/22 上午 12:38:27,https://odportal.tw/dataset/wlj03GYg,https://data.gov.tw/dataset/90002,真資料,15,3,vh_8Sdwi,170,,json
