名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,最大記錄數,檔案類欄位,實際型態,合併筆數,合併來源,分級未涵蓋新增資源
原住民族相關博物館,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:48:30,https://odportal.tw/dataset/-2kosR3f,https://data.gov.tw/dataset/164266,連結殼,3,2,110.0,網址,json;text,1,-2kosR3f,False
112年現住原住民人口數按性別、年齡及原住民身分分,政府開放資料平臺,,CSV;JSON,12,OGDL-1.0,2025/12/30 下午 02:44:49,https://odportal.tw/dataset/-2xZhuU7,https://data.gov.tw/dataset/161427,真資料,12,2,344.0,,json;text,1,-2xZhuU7,False
30220-09-02-2 臺中市原住民族綜合發展基金貸款統計,政府開放資料平臺;臺中市政府,臺中市政府原住民族事務委員會,CSV;JSON;XML,29,OGDL-1.0,2026/7/31 上午 05:30:36,https://odportal.tw/dataset/-4iktwLd,https://opendata.taichung.gov.tw/search/bf028e5c-6e52-4aa1-8a7c-caba83ccfa54,真資料,29,3,6.0,,json,2,-4iktwLd;lv3OgCC7,True
109年現住人口數按性別及原住民身分分,臺南市政府,臺南市政府民政局,CSV;JSON,24,OGDL-1.0,2026/5/4 上午 10:51:51,https://odportal.tw/dataset/-811jS8N,https://data.tainan.gov.tw/DataSet/Detail/7feef5c3-c844-4b89-bafa-2b4c2375525d,真資料,24,2,114.0,,html;text,1,-811jS8N,False
臺北市經濟弱勢原住民家庭建購或修繕住宅補助統計,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/12 下午 03:35:28,https://odportal.tw/dataset/-Af2yH3P,https://data.gov.tw/dataset/134702,真資料,1,1,9.0,,text,1,-Af2yH3P,False
原住民族家庭經濟戶長就業情形依年齡,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:59:04,https://odportal.tw/dataset/-DclpJUx,https://data.gov.tw/dataset/145190,真資料,3,2,11.0,,json;text,1,-DclpJUx,False
110年現住原住民人口數按性別、年齡及原住民身分分,臺南市政府,臺南市政府民政局,CSV;JSON,24,OGDL-1.0,2026/5/4 上午 10:51:51,https://odportal.tw/dataset/-IlTgSY_,https://data.tainan.gov.tw/DataSet/Detail/57819f1b-0f92-4af3-8487-9b9b4cc9be71,真資料,24,2,344.0,,html;text,1,-IlTgSY_,False
桃園市原住民族社會工作人員專職人員每年統計,政府開放資料平臺;桃園市政府,主計處,CSV,1,OGDL-1.0,2026/8/5 上午 10:02:41,https://odportal.tw/dataset/hNHTAsGr,https://opendata.tycg.gov.tw/datalist/2a33618f-b748-4040-aaff-fecfe56d8622,真資料,1,1,16.0,,text,2,-NQ1L_9h;hNHTAsGr,False
新北市原住民族別人數排行榜統計表,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/1 上午 11:40:18,https://odportal.tw/dataset/-Sn81QwG,https://data.gov.tw/dataset/124568,真資料,1,1,2.0,,text,1,-Sn81QwG,False
原住民族勞動力參與情形-按地區別分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:08:23,https://odportal.tw/dataset/-VZO-KTP,https://data.gov.tw/dataset/161523,真資料,3,2,416.0,,json;text,1,-VZO-KTP,False
高雄市原住民族產業工坊名單,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/30 下午 02:27:05,https://odportal.tw/dataset/-VZdojf-,https://data.gov.tw/dataset/128098,真資料,1,1,56.0,,json,1,-VZdojf-,False
臺北市各級學校原住民學生數,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/12 下午 03:34:49,https://odportal.tw/dataset/-X4mTWvl,https://data.gov.tw/dataset/134664,真資料,1,1,11.0,,text,1,-X4mTWvl,False
10411-01-44-2 臺中市國中原住民學生統計,政府開放資料平臺;臺中市政府,臺中市政府教育局,CSV;JSON;XML,23,OGDL-1.0,2026/8/10 上午 04:18:00,https://odportal.tw/dataset/-XkRl6Hu,https://opendata.taichung.gov.tw/search/240fb25c-d5da-4754-95aa-9c53c5878014,真資料,23,3,102.0,,json,2,-XkRl6Hu;9gto0LSI,True
補助原住民族長者裝置假牙實施計畫醫療院所,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:01:08,https://odportal.tw/dataset/-a1vZeKR,https://data.gov.tw/dataset/174217,真資料,3,2,1777.0,,json;text,1,-a1vZeKR,False
新北市各區區公所原住民服務窗口,新北市政府,新北市政府原住民族行政局/秘書室,CSV,1,OGDL-1.0,2025/12/1 上午 11:40:47,https://odportal.tw/dataset/-gAWRoiT,https://data.ntpc.gov.tw/datasets/e5bef801-73f7-4074-82df-2df430a08af6,HTML殼,1,1,,,html,1,-gAWRoiT,False
臺北市原住民急難救助統計,臺北市政府,原民會,CSV,1,,2026/6/17 上午 11:57:21,https://odportal.tw/dataset/-lnSrsXf,https://data.taipei/dataset/detail?id=79724756-c80f-49ab-8987-d7f8771401fe,網址無效,1,1,,,,1,-lnSrsXf,False
111年直轄市山地原住民區民代表選舉政治獻金會計報告書(首次申報),政府開放資料平臺,,ZIP,2,OGDL-1.0,2023/5/18 下午 02:25:32,https://odportal.tw/dataset/-rzJdDTW,https://data.gov.tw/dataset/162467,二進位,2,2,,,zip,1,-rzJdDTW,False
113學年度連江縣國民小學原住民學生數,政府開放資料平臺,,ODS,1,OGDL-1.0,2025/6/23 上午 09:50:17,https://odportal.tw/dataset/-tI7D5JO,https://data.gov.tw/dataset/173840,二進位,1,1,,,zip,1,-tI7D5JO,False
臺北市15歲以上原住民之教育程度,臺北市政府,主計處,CSV,1,,2026/3/18 上午 09:34:36,https://odportal.tw/dataset/0EWonvzr,https://data.taipei/dataset/detail?id=add2c7b2-fa14-40be-a522-709fd8350dc7,網址無效,1,1,,,,1,0EWonvzr,False
臺北市原住民學生專門人才獎勵情形,臺北市政府,原民會,CSV,1,,2026/6/17 上午 11:57:23,https://odportal.tw/dataset/0I7xWvNw,https://data.taipei/dataset/detail?id=b2907c78-ccfd-4888-8078-49cd140aea75,網址無效,1,1,,,,1,0I7xWvNw,False
高雄市現住原住民婚姻狀況,高雄市政府,主計處,CSV;JSON,2,OGDL-1.0,2025/6/30 下午 09:06:28,https://odportal.tw/dataset/0MCknJ3F,https://data.kcg.gov.tw/DataSet/Detail/857c04e8-0442-473d-a8d8-53b3d81ff5e6,真資料,2,2,14.0,,json;text,1,0MCknJ3F,False
高雄市原住民戶數,高雄市政府,主計處,CSV;JSON,2,OGDL-1.0,2025/6/30 下午 09:05:06,https://odportal.tw/dataset/0SfugieV,https://data.kcg.gov.tw/DataSet/Detail/91b5ffe1-0173-4489-90f5-ac45eeb7cd37,真資料,2,2,14.0,,json;text,1,0SfugieV,False
原住民族教育調查統計之各級學校全體及原住民學生人數摘要表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:07:25,https://odportal.tw/dataset/0Tp-HbiJ,https://data.gov.tw/dataset/170580,真資料,3,2,57.0,,json;text,1,0Tp-HbiJ,False
原住民教育調查統計之具原住民身分教師及族語老師通過族語認證調查依族別統計,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:07:38,https://odportal.tw/dataset/0XPUNgFz,https://data.gov.tw/dataset/170582,真資料,3,2,35.0,,json;text,1,0XPUNgFz,False
